Patient_ID,1563591_at,1570350_at,200063_s_at,206289_at,206847_s_at,208129_x_at,208493_at,208557_at,208604_s_at,209359_x_at,209360_s_at,209905_at,209905_at.1,210365_at,210805_x_at,211180_x_at,211181_x_at,211182_x_at,211620_x_at,213147_at,213147_at.1,213150_at,213150_at.1,213823_at,213844_at,214457_at,214639_s_at,214651_s_at,214651_s_at.1,217263_x_at,221691_x_at,221923_s_at,231786_at,235521_at,235753_at,237697_at,238571_at,238808_at,243058_at,Leukemia
Sample_831,3.25974318455576,3.45864912164308,12.467721414405998,4.90631019832303,3.86681552758683,6.07738375666283,3.5713998991857006,4.189435737064411,4.543402935842259,6.23389388940419,8.69523830284437,6.115891386120629,6.115891386120629,5.90307146710547,4.54897944263036,6.69267423751911,4.93826624384214,4.88672142358664,4.56734291807139,5.33102731089987,5.33102731089987,6.0213129827504,6.0213129827504,3.9934463053358003,4.518240692721429,3.1571483711204,3.2397979528046603,7.606949413996491,7.606949413996491,3.9769102362859905,10.8098713534691,10.745572092899499,2.84115747103104,3.26906078335229,3.76346055702085,3.73021351069281,3.4211289010118104,2.83959052244592,4.96712606940192,CML
Sample_842,3.0647877260705094,3.55698105816625,12.745940957982599,6.09120688520601,5.172848525859201,7.416064278261089,3.96230659048444,5.91693950930525,5.470151110634889,7.42878291198428,9.89458547881274,9.115215535370721,9.115215535370721,8.31747452352179,7.91082733249766,7.990024850289919,7.470029644635071,7.5586579390875,7.02163660785048,8.3878006056142,8.3878006056142,9.18682885006786,9.18682885006786,4.84771630660228,8.30960465843896,2.95307943007173,3.62166498028483,11.724310575253698,11.724310575253698,4.61153048420532,11.4128269179354,9.65916472774732,2.69649808275008,7.77019673039472,6.26698096087549,3.78731757562292,3.51254903877769,2.8861979733644105,5.07157884718195,AML
Sample_1689,3.1749331947607202,3.3443333855044504,12.6173666323724,5.27346879837017,3.164406542683,6.46696635436486,3.7238300733022003,4.08494050886471,4.711742634624019,6.3054995750037,7.750586000814309,4.22814942523392,4.22814942523392,6.63145713423465,6.00859195000589,6.819417525512401,5.30674407857917,5.541375484502679,5.218417474038691,4.49070677355834,4.49070677355834,3.1957838900602002,3.1957838900602002,4.1374443397174305,3.64884073793679,2.93445796888025,4.86394573934396,3.1334529871904997,3.1334529871904997,4.3843828276125,11.3753716394069,10.2829672326732,2.81217989622133,2.87531013868748,3.63489086470229,3.7828270821984304,3.4668944910794504,2.91753631674005,4.81033193506845,ALL
Sample_1565,3.0502718824137403,3.48205829445477,12.942083412671199,6.01050148585742,6.75741089015584,6.10164570775651,5.11802201003803,6.34575794889066,5.29914569599536,5.97907479007421,8.907888845834211,9.112651132904949,9.112651132904949,5.52317697720263,5.2080647327201905,6.35943595267799,4.87343936445624,5.1991761626641795,4.86610384570113,7.86903169473725,7.86903169473725,9.40550604931293,9.40550604931293,7.66689754360954,10.4796735269294,3.3075953347047595,4.09217517997572,11.494394652672998,11.494394652672998,3.98065767104354,11.8113221421681,11.7149858334179,2.6618646675532998,7.26643539179517,7.0035769673692405,3.99530558251683,3.61618378443892,2.81471309848042,5.0360327523719,AML
Sample_1590,3.1620280362388997,4.16396052930724,12.4114635533885,6.0483089141925195,4.73223981223325,6.5436676620103,5.4122145642016,5.59834222886704,5.2599783825035,7.04616534199987,8.49799128959995,8.19420361762006,8.19420361762006,7.643077351318951,6.129519068659509,7.122459636617941,6.21419252465698,6.0024670111629295,5.46085707653885,7.05287090203932,7.05287090203932,5.564060934509981,5.564060934509981,4.6938677287179,7.0586308804129505,3.61364485357309,3.76876814081155,9.557022399860509,9.557022399860509,4.620095562240599,11.2539723802914,10.195532044975302,2.96644216091372,3.8448173634718597,3.98024975344308,4.60235864337078,3.68130344491501,2.8433812165109,5.63274044159461,AML
Sample_307,2.8907049255612796,3.49862175595481,12.5127403668729,5.239781451216031,3.50975547736584,5.1480521926119005,3.81815900835965,4.32085838913395,5.013582381871791,4.9428120223754695,7.67815964732585,3.5964813433883,3.5964813433883,4.03583506119426,4.2718814940166006,5.24004933401013,4.02561941358311,4.08053928464723,4.39494802506949,5.05705703814612,5.05705703814612,3.4096121706966698,3.4096121706966698,4.05900678543534,3.39883854617688,2.7429186245437003,3.88976215090448,3.0022688561896604,3.0022688561896604,3.51788600860976,11.2068831541204,9.21061775601579,2.83395487064571,3.40072204593483,3.3748809304052103,3.7938736401875497,3.6599679519819803,2.8581184002300604,5.03590344569425,CLL
Sample_561,3.01595256274256,3.4437674572209103,12.4276273369227,5.26068159034264,3.80488126189591,5.37391695763801,3.5936820573256703,4.501758583277259,4.86321544907413,4.9979859641936795,7.5523437508867195,4.13287551704689,4.13287551704689,3.9689585875056,3.9813526080711203,5.83542109264943,4.8211576802937,4.87431120518955,4.98196778258451,4.63138556564934,4.63138556564934,3.16681258343249,3.16681258343249,4.38471398220453,3.8352091477936203,3.10957093613435,3.7152778529908597,3.2336969417474197,3.2336969417474197,3.8747656687342595,10.942439463928599,10.529701656349902,3.00211793249189,2.87817927839403,3.5601394799038704,3.6309130277843202,3.5505802516998197,2.9120912551008904,4.88558293598296,CLL
Sample_2211,3.2393297920694204,3.6318006484200493,12.5315044938177,5.29884149388818,3.8068667017657405,6.61280525230757,3.46516875208024,4.32348684426658,4.75680041968188,6.7022344844287405,7.93358776110585,5.79835804392725,5.79835804392725,5.8622178957776905,4.76485995241301,6.986908811846,4.75526380631702,4.90699025220614,4.871725613588,5.37599887960857,5.37599887960857,5.0242213965999,5.0242213965999,4.43657710939868,4.43678913519125,3.3662693488699706,6.09402153305125,7.503359071987701,7.503359071987701,4.20007035337965,10.984638117748899,10.0685649792748,3.09058359791048,3.0737862571776198,3.96526439193437,3.53942833628721,3.70206596929712,2.99360468005454,4.7158394375747195,AML
Sample_1751,2.91116790252562,3.5273752934809397,12.8186582602889,5.19278603065525,3.19850328006042,6.789568815878691,3.4810494539478203,4.46233851863276,4.84432578800749,6.602975472252281,8.847851474440251,4.03100753966286,4.03100753966286,7.12945568678957,4.81885659527675,7.0571135645464595,5.73169088556615,5.35966937786258,5.09639431997617,4.7410726359546205,4.7410726359546205,3.6817605756956695,3.6817605756956695,4.209354723041169,3.9391574148129602,3.09558241941806,3.50957296803257,3.20002587735809,3.20002587735809,4.56196750058746,11.864085197519998,10.9434651040177,2.9211791843138397,2.92639921474713,3.21307589368062,3.7423371557061405,3.49814335240764,2.97679844966807,4.80027010794569,AML
Sample_601,3.1975705710064197,3.5665889041746603,12.255791133843902,5.35347213917294,4.08961187686706,6.496554245673099,4.09648058891345,4.36192114519851,5.05951535529647,6.37442270004164,6.246750926778481,6.227549026642049,6.227549026642049,7.451230279859709,5.97812569169303,7.25320812820684,5.620106474469821,5.54402744570354,5.78193765108701,5.91898010675498,5.91898010675498,5.81977681542142,5.81977681542142,4.21641861620712,6.7127115119166305,3.05882967434691,5.74257378491145,8.0127613621026,8.0127613621026,4.729662996549861,11.0919575797857,10.460314690249099,2.82315989647796,3.4362770090735,4.19307121076989,3.72037748117523,3.57686215930533,2.8195394893005097,5.04810198855687,Non-leukemia and healthy bone marrow
Sample_1007,2.90782186902345,3.50361721310798,12.447829861844301,5.005617255845769,4.01563657966075,6.04473195861956,3.96186188010067,4.22522934131352,5.02963648966926,5.550842603956441,8.15000403080029,3.93668532631311,3.93668532631311,4.52805346667864,4.680104658425821,6.044714815506281,4.13577426527915,4.30016332306375,4.58511656371031,4.8319575769791205,4.8319575769791205,3.43558357133542,3.43558357133542,4.137022280088759,3.39083391331994,2.9340886186682598,3.7858456511405403,3.50118183935234,3.50118183935234,3.6293701821723596,10.8728059207819,10.086758335360802,2.91242305947714,3.03353191551955,3.4020024933974904,3.91564121047969,3.7300766986988103,2.96784032621638,5.09386618334226,CLL
Sample_836,2.77370585965887,3.66566783168908,13.002813463995901,4.82002783784457,3.35280992406932,6.322249632374519,3.7173486740234702,4.102351236275649,4.42226837124637,5.893842446042191,10.625492463816,3.9669684100194105,3.9669684100194105,4.62654963734593,5.07949923430761,6.62706098327088,4.726607351422469,4.61572009542177,4.82652487740824,4.579895633120129,4.579895633120129,3.23683433799815,3.23683433799815,4.14842005195677,3.65364958306906,2.88748509431826,3.28598025817345,3.40810829985596,3.40810829985596,3.81443420488808,11.785983965492498,10.417697526382302,2.76479808943451,2.92575116333959,3.23044181140551,3.58115717455459,3.44025485370679,2.9463055449828195,4.6988974947045,ALL
Sample_1925,3.1920476145789998,3.63712227944353,12.466516867091599,5.23887993568612,3.5299696327324903,5.191655631682741,3.8226166889079907,4.26769681008642,5.13623843023768,5.31169710108363,7.463150527959349,4.12251516232918,4.12251516232918,4.36542846427848,4.380636328215149,6.12486173031366,5.0199088311186,4.35245716552797,4.684480155133031,5.0199088311186,5.0199088311186,3.46009485103436,3.46009485103436,4.13950217050615,3.68413576239515,3.0529314531553196,3.7235095761049104,3.55545280474217,3.55545280474217,4.0733754666285,10.9254723945516,9.717504553078928,2.97843220732582,2.8600284813863,3.4892940474543797,3.58407271474366,3.6995197473052,2.77539148580028,5.0199088311186,CLL
Sample_1825,3.00484230229168,3.53269756406662,12.4147049965602,5.18444024226817,3.39082115474463,6.0026270980008,3.5927699022781803,4.6377043321833895,5.31337813305127,5.21076710658977,7.313650802144481,4.15014037615876,4.15014037615876,5.4585614060247805,4.25596502961002,5.74176160482509,4.967256966662251,5.054913941690541,4.89396003252295,5.09675594645733,5.09675594645733,3.6359096658229797,3.6359096658229797,4.14039360522643,3.73773218379241,3.09013824118591,4.57356578046503,3.1597781450979197,3.1597781450979197,4.06688248259741,11.1591239943673,10.3906793288776,2.8928959549501903,2.9861076196252,3.65715684255007,3.68452160002691,3.73875231931063,2.9534848277651102,5.02689351650587,CLL
Sample_1995,3.08045863976566,4.10533646247576,12.4426784643726,5.9612422516183905,5.48513560072101,6.37117595693251,4.44452351487082,6.012951414588139,5.10142774533117,6.31014160884001,7.92992764097885,9.176936011964381,9.176936011964381,7.96005331158917,6.08866177570712,6.80383343871253,6.078244568000111,5.768828116591849,5.82142608527413,7.65870269821418,7.65870269821418,8.901947295662369,8.901947295662369,5.293381109480889,9.646545070821231,3.26254570008807,4.25404811339119,11.714811773113501,11.714811773113501,4.83572340972262,11.6069067812651,11.130688563009901,2.6482574575297098,6.96070707436266,6.74111156127651,3.98391784060931,3.6392471098063397,3.10389304617681,5.48640001605167,AML
Sample_1086,3.21023061047504,3.8335819833267,11.902656474175801,5.43743570072567,3.47791141814589,6.0467909716825305,3.8609290421209104,4.33280716235603,5.315747435746981,5.32922908041129,6.8627317215800705,4.1220332866940295,4.1220332866940295,5.722677502376031,4.27664044221942,6.11585811951488,4.422972757231871,4.95098583025269,4.93505759533287,5.5474054461072395,5.5474054461072395,3.30064346536766,3.30064346536766,4.44013420753746,6.73598671283867,3.2802930168220095,4.93935987033184,3.9506985518382596,3.9506985518382596,4.2202586173129,10.6228919302823,9.98609780553755,2.89443048282145,3.63905081472506,3.5243919685871203,4.0307678399894105,3.75503443686094,3.66749549275172,5.121954199300831,CLL
Sample_2236,2.93996763515661,3.43319934826669,12.536590546991501,5.05270808471783,3.5654037413938795,6.28199417370867,3.8575788644921203,4.12947971437247,4.84690063199493,6.1115365705450095,8.46147495618778,4.02642127656608,4.02642127656608,6.750161557263071,5.734764699235929,6.389278313499651,5.882053135583121,5.79869712841637,5.374144302178959,4.86966844192887,4.86966844192887,3.58455492436916,3.58455492436916,4.08459542234573,3.7141102037229103,3.23543390573252,3.4188486140243195,3.70967344999178,3.70967344999178,4.68921101505584,11.5083962964538,10.887488304632699,2.81917624543119,2.52969611219044,3.49420592410035,3.46384254604042,3.4468532406960897,2.9507233165445297,4.78116152797445,AML
